epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,240.524,0.50869,0.60539,0.45825,0.867,0.94729,0.94593,0.98761,0.87417,0.94729,0.94593,0.98761,0.69101,0.50005,0.59809,0.46384,0.88735,0.000812,0.000812,0.000812
62,243.687,0.51921,0.61268,0.45018,0.87934,0.90372,0.98854,0.98761,0.88752,0.90372,0.98854,0.98761,0.69896,0.48362,0.58458,0.4566,0.88103,0.0007922,0.0007922,0.0007922
63,246.991,0.50718,0.61703,0.46254,0.86962,0.90408,0.9925,0.9827,0.84576,0.90408,0.9925,0.9827,0.68535,0.52727,0.61827,0.46196,0.88837,0.0007724,0.0007724,0.0007724
64,251.635,0.50005,0.6157,0.44267,0.86961,0.96523,0.94737,0.9863,0.89665,0.96523,0.94737,0.9863,0.67645,0.47796,0.67507,0.45626,0.8842,0.0007526,0.0007526,0.0007526
65,255.106,0.51953,0.63152,0.44834,0.86092,0.90401,0.99165,0.98497,0.90985,0.97778,0.94737,0.99024,0.68795,0.46715,0.66926,0.45901,0.88962,0.0007328,0.0007328,0.0007328
66,258.335,0.51188,0.6415,0.44371,0.87557,0.9444,1,0.9875,0.8919,0.9444,1,0.9875,0.69454,0.47122,0.64428,0.45703,0.88681,0.000713,0.000713,0.000713
67,261.716,0.50633,0.64471,0.44491,0.861,0.94812,1,0.9875,0.88515,0.94812,1,0.9875,0.65241,0.52712,0.66674,0.44308,0.89857,0.0006932,0.0006932,0.0006932
68,266.771,0.50159,0.6269,0.43501,0.85502,0.94535,1,0.99,0.88311,0.94535,1,0.99,0.69792,0.53002,0.60032,0.45643,0.89691,0.0006734,0.0006734,0.0006734
69,270.242,0.50861,0.63586,0.43916,0.86309,1,0.97383,0.995,0.86279,1,0.97383,0.995,0.72032,0.51525,0.56911,0.43863,0.89282,0.0006536,0.0006536,0.0006536
70,273.385,0.48848,0.58533,0.42692,0.8628,0.9966,1,0.995,0.89396,0.9966,1,0.995,0.72161,0.46057,0.56276,0.40972,0.88032,0.0006338,0.0006338,0.0006338
71,277.202,0.51918,0.64236,0.44495,0.88209,0.99922,1,0.995,0.88549,0.99922,1,0.995,0.72541,0.47546,0.56003,0.41146,0.88356,0.000614,0.000614,0.000614
72,281.482,0.50344,0.60838,0.43636,0.86416,1,0.99487,0.995,0.89412,1,0.99487,0.995,0.731,0.46765,0.57607,0.4421,0.88974,0.0005942,0.0005942,0.0005942
73,284.711,0.47857,0.57473,0.42791,0.86907,0.98238,0.94737,0.9925,0.89979,0.98238,0.94737,0.9925,0.73338,0.45431,0.59446,0.45489,0.88629,0.0005744,0.0005744,0.0005744
74,287.925,0.4827,0.58128,0.42982,0.86051,1,0.98956,0.995,0.89889,1,0.98956,0.995,0.75645,0.46082,0.59092,0.42753,0.8796,0.0005546,0.0005546,0.0005546
75,291.786,0.47496,0.5752,0.41497,0.86748,1,0.99031,0.995,0.89768,1,0.99031,0.995,0.7264,0.44508,0.60051,0.42049,0.86697,0.0005348,0.0005348,0.0005348
76,295.774,0.47326,0.5961,0.40909,0.86173,1,0.99554,0.995,0.87543,1,0.99554,0.995,0.72457,0.45321,0.59503,0.43318,0.87612,0.000515,0.000515,0.000515
